velocity, actor, ttfc, ttg, collision_to_ego_times, collision_times, offlane_times, lateral_rmse, final_reward, initial_distance_to_end, end_distance_to_end, road_completion
3,ego,45,0,0,1,0,1.0342594976070894,0,51.86375670212213,35.673483521622366,0.31216931070936677
3,ego,38,0,0,1,0,1.0628994969967307,0,51.86375670212213,25.13461290567378,0.5153723042078566
3,ego,46,0,0,1,0,1.0612443246395014,0,51.86375670212213,8.425614889406305,0.8375432975710078
3,ego,65,0,0,1,0,1.1141835296648641,0,51.86375670212213,40.33002841624218,0.2223851301810542
3,ego,0,0,0,0,0,1.017365225985511,0,51.86375670212213,37.7075547074305,0.27294979952951215
3,ego,39,0,0,1,0,1.0657901398797198,0,51.86375670212213,35.907765850085575,0.3076520457952804
3,ego,38,0,0,1,0,1.2711472481142665,0,51.86375670212213,36.80325244017555,0.29038591146503556
3,ego,41,0,0,1,0,1.044312092513451,0,51.86375670212213,9.080500293684704,0.8249162638595913
3,ego,0,0,0,0,0,1.386961499514722,0,51.86375670212213,39.422340982484684,0.2398865124849002
3,ego,0,0,0,0,0,1.0200625966263803,0,51.86375670212213,39.691100900356645,0.2347044752596453
3,ego,0,0,0,0,0,1.1681143418451514,0,51.86375670212213,19.23376251110234,0.6291482967273109
3,ego,0,0,0,0,0,1.2196085927023574,0,51.86375670212213,40.75825374874062,0.21412839446177453
3,ego,0,0,0,0,0,1.4009856628458015,0,51.86375670212213,39.41941595157244,0.23994291084665106
3,ego,0,0,0,0,0,0.904204637369172,0,51.86375670212213,39.13960141370795,0.24533809537737442
3,ego,0,0,0,0,0,1.1415219505431424,0,51.86375670212213,38.184539513290545,0.2637529183895749
3,ego,0,0,0,0,0,0.9885938509810944,0,51.86375670212213,39.35428282932216,0.24119876129775453
3,ego,0,0,0,0,0,1.0226757792866379,0,51.86375670212213,37.624683037843305,0.2745476720103502
3,ego,0,0,0,0,0,1.0046741189057546,0,51.86375670212213,39.64990110658953,0.23549886032518813
3,ego,42,0,0,1,0,1.1202480573657718,0,51.86375670212213,36.57716347268052,0.29474519783130415
3,ego,93,0,0,1,0,1.3028023256503483,0,51.86375670212213,39.157562133487325,0.24499178957691858
3,ego,0,0,0,0,0,1.0126215870677375,0,51.86375670212213,39.79232426421694,0.23275275848676158
3,ego,38,0,0,2,0,1.035236119364335,0,51.86375670212213,37.37158939760097,0.2794276432337224
3,ego,0,0,0,0,0,1.1433194564785698,0,51.86375670212213,18.316702957970413,0.6468303855586123
3,ego,0,0,0,0,0,1.0644691181844672,0,51.86375670212213,8.338258681437807,0.8392276377253515
3,ego,82,0,0,1,0,1.2049728132844437,0,51.86375670212213,38.648174541264304,0.25481343815414514
3,ego,0,0,0,0,0,1.1095671051921734,0,51.86375670212213,33.11300837193176,0.3615385680193725
3,ego,61,0,0,1,0,0.99801161020163,0,51.86375670212213,37.36613645021776,0.27953278307954055
3,ego,0,0,0,0,0,1.0504339990171783,0,51.86375670212213,8.164368426779394,0.8425804657061157
3,ego,0,0,0,0,0,1.02879122371836,0,51.86375670212213,37.637573487292215,0.2742991275494669
3,ego,51,0,0,1,0,1.0892698406497203,0,51.86375670212213,14.739008806011903,0.7158129348272062
3,ego,38,0,0,1,0,1.0402650591901113,0,51.86375670212213,11.027474320777749,0.7873760980309679
3,ego,0,0,0,0,0,1.0327603216939327,0,51.86375670212213,39.7036536387577,0.23446244230254287
3,ego,39,0,0,1,0,1.1085362205916252,0,51.86375670212213,36.17367873535429,0.3025249030239618
3,ego,0,0,0,0,0,1.031326054444178,0,51.86375670212213,39.654952861706484,0.23540145598276907
3,ego,44,0,0,1,0,1.024424937297388,0,51.86375670212213,37.92972820455144,0.2686660084729371
3,ego,0,0,0,0,0,0.9885938509810944,0,51.86375670212213,39.35428282932216,0.24119876129775453
