velocity, actor, ttfc, ttg, collision_to_ego_times, collision_times, offlane_times, lateral_rmse, final_reward, initial_distance_to_end, end_distance_to_end, road_completion
3,ego,46,0,0,1,0,1.123721216321569,0,51.86375670212213,18.62392313411956,0.6409067850390112
3,ego,32,0,0,1,0,1.351277488557581,0,51.86375670212213,13.633226082761869,0.7371338493456254
3,ego,33,0,0,1,0,1.6196803054032745,0,51.86375670212213,17.651830835745496,0.6596499760492045
3,ego,0,0,0,0,0,1.0672018949233146,0,51.86375670212213,8.198940109904822,0.8419138791469507
3,ego,47,0,0,1,0,1.250341837301589,0,51.86375670212213,32.49864844430161,0.3733842183674318
3,ego,0,0,0,0,0,1.1667964864799178,0,51.86375670212213,16.497602421549786,0.6819049858593305
3,ego,0,0,0,0,0,1.0630736386739443,0,51.86375670212213,8.126905642949207,0.8433027964089481
3,ego,0,0,0,0,0,1.0634938354771386,0,51.86375670212213,15.68108974745618,0.6976484014160402
3,ego,50,0,0,1,0,1.0281741868774117,0,51.86375670212213,31.26819933062009,0.39710886139220464
3,ego,38,0,0,2,0,0.9664536885104908,0,51.86375670212213,35.85770936512402,0.30861719926939235
3,ego,0,0,0,0,0,1.0422541307061808,0,51.86375670212213,8.20447695989495,0.8418071215508528
3,ego,31,0,0,1,0,1.2989222169781256,0,51.86375670212213,39.92113784695693,0.23026906677349385
3,ego,39,0,0,1,0,1.0883345505486264,0,51.86375670212213,35.77930735124003,0.31012889103391866
3,ego,0,0,0,0,0,1.1261307284846702,0,51.86375670212213,15.710124860423232,0.6970885670574569
3,ego,40,0,0,1,0,1.1025139783683617,0,51.86375670212213,36.23152033978964,0.3014096424236245
3,ego,38,0,0,1,0,0.9412594498800729,0,51.86375670212213,37.59390525390497,0.2751411073088208
3,ego,43,0,0,2,0,1.3428069069553372,0,51.86375670212213,34.30242815380172,0.3386050233341822
3,ego,30,0,0,1,0,1.0033492589059405,0,51.86375670212213,40.7098025634813,0.21506259569092193
3,ego,0,0,0,0,0,1.072799526284467,0,51.86375670212213,8.447303038010613,0.8371251221440159
3,ego,39,0,0,1,0,1.0463864031884715,0,51.86375670212213,10.010643178590836,0.806981911547853
3,ego,42,0,0,1,0,1.1714827136259012,0,51.86375670212213,14.766839071653806,0.7152763314762044
3,ego,0,0,0,0,0,1.0803069129780543,0,51.86375670212213,14.973834385438671,0.7112851953351467
3,ego,30,0,0,1,0,0.9737195741327909,0,51.86375670212213,40.68838293616033,0.21547559368186944
3,ego,33,0,0,2,0,1.8551895568675643,0,51.86375670212213,38.97361843403476,0.24853846091638668
3,ego,35,0,0,1,0,1.059847687686433,0,51.86375670212213,14.449774054863603,0.7213897531978751
3,ego,40,0,0,1,0,1.0873545800019515,0,51.86375670212213,8.563047797857912,0.8348934141612705
3,ego,48,0,0,1,0,1.0648408562103762,0,51.86375670212213,9.283989618776612,0.820992727694237
3,ego,0,0,0,0,0,1.0657764269876278,0,51.86375670212213,15.874658773916735,0.6939161413799555
3,ego,29,0,0,1,0,0.989332024697215,0,51.86375670212213,22.41503058069515,0.5678093526962349
3,ego,36,0,0,1,0,1.1114771162294497,0,51.86375670212213,23.751378701468614,0.5420428404775243
3,ego,31,0,0,1,0,1.1223540155248202,0,51.86375670212213,20.269873993483216,0.609170733429462
