episode,R_collision,RC,OL,TTD,TTFC,Ego_Cols,Total_Cols,NPC_LDE,BG_LDE
54,1,0.36155966018679775,0,80,54,1,3,1.123654876732604,1.299104790239899
55,0,0.6018645233371795,0,80,80,0,2,2.0788725055820176,1.9415068594025089
56,1,0.5102985900196071,0,80,63,1,3,1.1454293049493636,1.4349316886445804
57,1,0.36585313428147137,0,80,38,1,1,0.3454018338879741,0.9260730552398828
58,0,0.6018645233371795,0,80,80,0,2,2.0500363148838896,1.6622629317321993
59,0,0.5558848838031386,0,80,80,0,2,1.7507580469550852,2.471724473535987
60,1,0.36268828346096216,0,80,38,1,3,0.8555557502454499,0.8883838079774046
61,0,0.6018645233371795,0,80,80,0,2,3.0468101532736593,2.2520512649927706
62,0,0.6026222170733604,0,80,80,0,2,2.607743276856379,2.066404864673313
63,1,0.4159268630405094,0,80,47,1,1,0.6739558328932813,1.2416723952634026
64,1,0.42198233872925534,0,80,48,1,2,1.013649297302883,1.2908199030732257
65,0,0.35127917827709837,0,80,80,0,3,2.0568336678772945,2.198210807460088
66,1,0.5656878318637945,0,80,80,1,1,0.7245757150086177,2.49267094594988
67,1,0.49181503385134856,0,80,58,1,3,1.1767508369598294,1.54375299589711
68,0,0.5584832838672031,0,80,80,0,3,2.507083344964807,2.526255534221445
69,0,0.6018645233371795,0,80,80,0,3,2.758308555318598,1.7470738344317616
70,1,0.39044178900129317,0,80,43,1,1,1.0999901519902338,1.4551928743943756
71,0,0.5695413611876725,0,80,80,0,0,1.0675807745415895,1.9427622182066575
72,1,0.42634609951107716,0,80,49,1,1,0.7396593083751344,1.4732511909431463
73,0,0.22318388879232232,0,80,80,0,3,1.6667175952637308,3.68528129934816
74,0,0.5695413611876725,0,80,80,0,1,0.9590304682677983,1.9283529077121975
75,1,0.3010752276330557,0,80,46,1,3,1.1103369342525775,1.1245219616502127
76,1,0.5121584534627386,0,80,62,1,2,1.3319010899575374,2.2763801782663107
77,0,0.5987013427329566,0,80,80,0,5,3.809973560898984,1.6512804201215683
78,0,0.6026222170733604,0,80,80,0,4,1.9778774169933173,2.0039563367833075
79,0,0.5695413611876725,0,80,80,0,1,0.8321384854000256,2.1956549711998767
80,0,0.6018645233371795,0,80,80,0,2,1.3097948239559511,1.8844593106070113
81,0,0.5382734702273566,0,80,80,0,1,2.9819865086310906,4.238293703847752
82,0,0.5695413611876725,0,80,80,0,0,2.10628243678083,2.7740040753791804
