velocity, actor, ttfc, ttg, collision_to_ego_times, collision_times, offlane_times, lateral_rmse, final_reward, initial_distance_to_end, end_distance_to_end, road_completion
3,ego,0,0,0,0,0,1.0606853536168925,0,51.86375670212213,8.423100263918219,0.8375917827878141
3,ego,33,0,0,1,0,1.4598755836648627,0,51.86375670212213,12.117171056739828,0.7663653420569894
3,ego,31,0,0,1,0,1.9841122124089319,0,51.86375670212213,33.88641505332345,0.3466262914977599
3,ego,0,0,0,0,0,1.0385690116057027,0,51.86375670212213,7.978942477783378,0.8461557167250691
3,ego,36,0,0,1,0,1.3986027564768393,0,51.86375670212213,12.924314204765043,0.7508025830254558
3,ego,42,0,0,1,0,1.0643688084628367,0,51.86375670212213,8.764523470705864,0.8310087038036092
3,ego,0,0,0,0,0,1.053671837411091,0,51.86375670212213,8.30390924774111,0.8398899390294006
3,ego,0,0,0,0,0,1.0517271752712976,0,51.86375670212213,8.245993827013184,0.8410066229028917
3,ego,0,0,0,0,0,1.054816312033909,0,51.86375670212213,8.035385776281117,0.8450674172634253
3,ego,35,0,0,1,0,1.7072851439054046,0,51.86375670212213,18.929693478317827,0.6350111391459756
3,ego,0,0,0,0,0,1.0402519723780883,0,51.86375670212213,8.205786302234888,0.8417818757448566
3,ego,0,0,0,0,0,1.0474457869741696,0,51.86375670212213,8.29541723257379,0.8400536760146732
3,ego,0,0,0,0,0,1.0594026826900487,0,51.86375670212213,8.32407646140943,0.8395010891860667
3,ego,0,0,0,0,0,1.0552641207747038,0,51.86375670212213,8.276235317291533,0.8404235280366242
3,ego,43,0,0,1,0,1.0809529346601405,0,51.86375670212213,8.646853365131882,0.8332775349307068
3,ego,0,0,0,0,0,1.045664771654688,0,51.86375670212213,8.001005053747367,0.8457303218565349
3,ego,35,0,0,1,0,1.3211789909050347,0,51.86375670212213,10.65395456634635,0.7945780397756953
3,ego,0,0,0,0,0,1.0466481549889173,0,51.86375670212213,8.291992832079696,0.8401197028648638
3,ego,0,0,0,0,0,1.062150741557834,0,51.86375670212213,8.288646957091274,0.8401842156422092
3,ego,0,0,0,0,0,1.0614086529879874,0,51.86375670212213,7.984519945400348,0.8460481759688333
3,ego,0,0,0,0,0,1.0466481549889173,0,51.86375670212213,8.291992832079696,0.8401197028648638
