velocity, actor, ttfc, ttg, collision_to_ego_times, collision_times, offlane_times, lateral_rmse, final_reward, initial_distance_to_end, end_distance_to_end, road_completion
3,ego,0,0,0,0,0,1.0342980652064138,0,51.86375670212213,8.171867812832957,0.8424358678880933
3,ego,34,0,0,2,0,1.7017109036084448,0,51.86375670212213,24.40251192629939,0.5294881536165138
3,ego,0,0,0,0,0,1.1276277860899808,0,51.86375670212213,22.360061624973948,0.5688692249310388
3,ego,43,0,0,1,0,1.0514601328280457,0,51.86375670212213,8.08515287263251,0.8441078435742839
3,ego,47,0,0,1,0,1.4646666697230397,0,51.86375670212213,33.42285715654769,0.3555642845443914
3,ego,56,0,0,1,0,1.0622632474403084,0,51.86375670212213,8.465352726359047,0.8367771009150082
3,ego,43,0,0,1,0,1.0444518425379812,0,51.86375670212213,9.915746109350696,0.80881164921582
3,ego,46,0,0,2,0,1.045092274056602,0,51.86375670212213,10.796658952356264,0.791826515491993
3,ego,85,0,0,1,0,1.0888389633650386,0,51.86375670212213,33.07291185998158,0.36231168039109046
3,ego,50,0,0,1,0,1.0205023829184532,0,51.86375670212213,9.962257412962217,0.8079148514022976
3,ego,35,0,0,2,0,1.0222739130483887,0,51.86375670212213,39.779375884150085,0.23300241992454018
3,ego,0,0,0,0,0,1.0556285016871592,0,51.86375670212213,8.258497294510637,0.8407655399522435
3,ego,55,0,0,1,0,1.0874253979031416,0,51.86375670212213,35.62479237167644,0.3131081387666087
3,ego,50,0,0,1,0,1.2573967230650465,0,51.86375670212213,34.496478724356436,0.33486347850800924
3,ego,46,0,0,2,0,1.3725589670606846,0,51.86375670212213,28.641741609613305,0.4477503476249078
3,ego,50,0,0,1,0,1.0754355637380975,0,51.86375670212213,12.79916929244678,0.7532155380498484
3,ego,41,0,0,2,0,1.4105493458582328,0,51.86375670212213,30.137275273882437,0.41891453318788807
3,ego,33,0,0,1,0,1.0062856006574148,0,51.86375670212213,39.83954596457336,0.23184226330941374
3,ego,0,0,0,0,0,1.0366512132470533,0,51.86375670212213,13.414230736944276,0.7413563615534352
3,ego,54,0,0,1,0,1.102542340673981,0,51.86375670212213,34.34049325828531,0.3378710791137082
3,ego,0,0,0,0,0,1.0468821563834945,0,51.86375670212213,8.167902971587502,0.8425123151317481
3,ego,45,0,0,1,0,1.0724427819032434,0,51.86375670212213,33.50109380171372,0.3540557813016475
3,ego,37,0,0,1,0,0.8861649503346266,0,51.86375670212213,38.90145669824056,0.24992983208544145
3,ego,33,0,0,1,0,1.274588243472949,0,51.86375670212213,8.807744621299026,0.8301753443761116
3,ego,0,0,0,0,0,1.1017280219480323,0,51.86375670212213,14.559029190455039,0.719283173525698
3,ego,45,0,0,2,0,1.1013567484702758,0,51.86375670212213,32.28919246990698,0.37742279921296584
3,ego,0,0,0,0,0,1.1235015110074376,0,51.86375670212213,29.174806837302665,0.4374721637526711
3,ego,0,0,0,0,0,1.0371843997975632,0,51.86375670212213,8.32716394819981,0.8394415584658355
3,ego,31,0,0,2,0,0.9141303351733845,0,51.86375670212213,40.64117610480144,0.2163858021658021
3,ego,40,0,0,2,0,1.3501872177004197,0,51.86375670212213,35.45745293060267,0.3163346586277688
3,ego,35,0,0,2,0,1.3477621787114034,0,51.86375670212213,38.14172527440838,0.26457843203541564
3,ego,0,0,0,0,0,1.1045701472905114,0,51.86375670212213,19.03316218788169,0.6330161292172093
3,ego,44,0,0,2,0,1.1339490386832933,0,51.86375670212213,34.52654459712728,0.33428376977338126
3,ego,51,0,0,1,0,1.0862653300326566,0,51.86375670212213,30.844761497442743,0.4052732879610193
3,ego,51,0,0,1,0,1.2904725514859379,0,51.86375670212213,30.536543945257858,0.4112161191746378
3,ego,93,0,0,1,0,1.2613484416110499,0,51.86375670212213,32.06456567692336,0.38175389297221196
3,ego,45,0,0,2,0,1.1015705675522536,0,51.86375670212213,33.97689727744194,0.3448816777275277
3,ego,51,0,0,1,0,1.1050009331094055,0,51.86375670212213,12.762608769116977,0.7539204720086394
3,ego,40,0,0,1,0,1.36244658128945,0,51.86375670212213,35.504062533636464,0.3154359654748317
3,ego,56,0,0,1,0,1.1187470780923214,0,51.86375670212213,14.671251338348863,0.7171193860365198
3,ego,0,0,0,0,0,1.2819080872158426,0,51.86375670212213,32.18890844003087,0.37935640441731083
3,ego,45,0,0,2,0,1.2889325486860135,0,51.86375670212213,9.759769818082638,0.8118190729195038
3,ego,44,0,0,2,0,1.2456970893873718,0,51.86375670212213,33.88889733034079,0.34657843000111593
3,ego,54,0,0,1,0,1.0549510082127225,0,51.86375670212213,8.606805660609815,0.8340497062323746
3,ego,0,0,0,0,0,1.086856495173751,0,51.86375670212213,33.207665185768114,0.3597134627849019
3,ego,35,0,0,1,0,1.060806314326775,0,51.86375670212213,34.533186350118655,0.3341557082249376
3,ego,54,0,0,1,0,1.137371582801051,0,51.86375670212213,29.171590799788337,0.4375341730963598
