1,120.45575654831241
1,121.32724992697547
2,1.443432785243599
3,-4.200283131423437
4,157.20277051341017
5,-6.462598294681193
6,-1.841961229637004
7,95.69318765101652
8,-13.86894078142867
9,-0.7565373275519711
10,-4.317777909624823
11,4.72503033929973
12,25.566206353113248
13,204.9297062229238
14,99.11926024211327
15,115.82913220164106
16,2.6986435677608243
17,24.21764955484042
18,141.08333885634363
19,119.43283937849732
20,120.21229649971771
1,-5.9148150787628175
1,212.8920463924007
2,147.03381391352707
1,-11.58790385248562
2,107.52850870733361
1,119.53357468708418
1,118.41279592753995
2,113.34618243781823
1,112.99639718677076
2,154.07202350771348
3,-4.66277715137751
4,-10.368302132829685
1,-11.232960236275012
1,-3.670615715120187
1,119.16957509563531
2,-14.980032300308673
1,-3.0661241686051746
1,-26.734430643224727
2,145.91276141063466
1,-10.576199091992073
1,-8.032009923292666
1,-10.223500426076583
1,120.78007332096315
1,-6.139264803504421
1,-12.351226849484728
1,101.71147223433624
2,112.32206928964946
1,-13.745867397087906
1,-9.787330052159492
1,-10.542512092289831
2,126.55543983577347
1,-3.452008619584492
2,131.43615889250722
1,-1.2417581134412798
2,-17.992559565770655
3,110.68157542510714
4,203.559836758281
5,84.41224318067259
6,-0.2918544310273967
1,122.24491256336128
1,123.08185356156184
1,3.139148066109599
1,212.88711003779525
2,114.00066794628364
3,112.195064834804
4,117.68598864638057
1,117.82626399771831
2,113.3837279206599
1,-24.821136725614103
1,-7.680367402020899
2,105.62336241233906
3,137.98765914232047
4,-23.777670560151478
1,132.63129925258076
2,113.94001990194114
1,-9.239785084088426
1,131.51645750165943
2,120.65082823748955
3,-8.489661691342345
4,151.69577728290344
1,2.9988648681627614
1,1.135836842190772
1,-28.602794224014065
1,-11.511109682616269
2,-1.9243606152654071
3,140.09580845405083
4,-11.655847348265958
5,-6.278896670315376
1,-2.362143866910838
1,4.0965076745552995
