episode,cummulate_reward
1,24.722406408181804
2,-15.036360730687768
3,-18.03671870746468
4,19.630540223824248
5,-1.1623294782538807
6,-3.3758172073009662
7,13.917585040554165
8,-66.96867060822815
9,-64.86234573054097
10,163.2529237337998
11,-154.15192237603713
12,29.683805706058408
13,-59.88188352626965
14,-52.49793496375227
15,26.950219537405708
16,-108.40429176213829
17,44.852633688147506
18,-87.56651905782101
19,17.255176041108456
20,88.51858645537287
21,-155.57026821393504
22,-121.4406157385827
23,-145.15527298105772
24,-80.58158518470873
25,-207.43936279820366
26,-36.14366041978897
27,60.07249434431513
28,49.53671108303413
29,87.73370762521589
30,38.44557734591902
31,76.87368533399231
32,-21.44781702062214
33,25.981513814391988
34,-142.42863204451015
35,-103.0811886827799
36,-61.21241011494001
37,40.3674488992601
38,-135.85454979470904
39,-46.21503980233291
40,-47.61339288824162
41,79.45603479964696
42,28.789520960492148
43,-91.26852256584273
44,-156.82576514358118
45,87.8786122590406
46,235.9316549510994
47,-89.49919675329541
48,-58.94972328302558
49,90.5405206195116
50,13.09925328569621
51,-14.582431654101974
52,-51.37290183748362
53,43.622453396443206
54,32.132682127733695
55,-25.15365945573218
56,56.067684484493235
57,-43.42578255112012
58,201.11307866531115
59,144.5096382664683
60,-93.9821432509319
61,146.32435412298548
62,150.33861959184713
63,197.17687878859041
64,-26.36571882957341
65,-9.586296937808259
66,9.322034490611925
67,45.293726388399826
68,-25.942507447470888
69,69.76081621707851
70,-2.1616851487824214
71,94.3756296055642
72,54.7767131672302
73,111.54073174432489
74,-26.569437493563655
75,11.195278897857989
76,50.27661369270324
77,-7.655212146295256
78,-19.526046537859262
79,-71.77914222244988
80,51.417129802442155
81,-74.90748731096626
82,-85.14016358214027
83,17.66604564866995
84,148.1769496649472
85,-180.22463325718695
86,38.756549702290066
87,-169.28855509872295
88,231.78148090641866
89,-109.41201772535055
90,133.41139845989682
91,-183.75657300520362
92,-10.725740337698085
93,-113.77583431663984
94,-44.807841530722676
95,166.33897427294607
96,-49.268356505657266
97,-167.26527543868835
98,14.974280206291581
99,82.7941982682367
100,77.63992716477325
101,-69.08335568556521
102,44.72561555466679
103,176.74422472825034
104,-2.764133491836077
105,153.69043578382363
106,37.30444403540788
107,-136.0302404193959
108,69.76691343826695
109,7.520073660933033
110,30.43694202680303
111,37.18846116495252
112,52.81369824313002
113,26.436918746546354
114,15.73715900360125
115,86.986797078752
116,-173.26762776715685
117,-67.97136985598564
118,40.596915174722064
119,147.45485767709494
120,-59.34166830118453
121,5.4993182444373545
122,157.48018228607054
123,50.02763229326929
124,-71.14378864800987
125,-71.37396588749638
126,50.644802596394136
127,-12.135668287182868
128,-156.66060701463223
129,14.085842566022105
130,-137.97777920639714
131,90.99930519017467
132,61.1326827955247
133,-55.324160347421625
134,153.6526123877867
135,66.5247637064136
136,-6.691198110536821
137,5.013695265846096
138,-26.613441631148483
139,-36.69638376760261
140,-59.71839090873515
141,49.851561753158286
142,-0.7375009687788303
143,25.13423657829028
144,-58.0922058517853
145,-76.95120643377389
146,40.18204679997889
147,58.12163987422179
148,-120.31077888877758
149,-67.24047929764147
150,-39.244228090016534
151,81.06444641764045
152,18.924524735517533
153,128.45282876894643
154,111.29119229753417
155,-23.84629579888264
156,-152.27094533413572
157,-47.61407669558997
158,-154.55613235633916
159,-33.689161747041155
160,27.84038507007709
161,55.13716008826751
162,28.379756184675713
163,-82.53927721952633
164,-27.781905739407946
165,57.16003971279861
166,-155.99237299662886
167,85.83365457461005
168,-45.39958247088294
169,162.70121088248925
170,49.24391042858483
171,-112.78337269523625
172,149.85908587625192
173,-39.416950769305075
174,38.471243559747926
175,74.5845515766934
176,197.90541554292776
177,18.25303841710611
178,17.502953332440622
179,33.82509718252222
180,-80.51093095558566
181,-53.15421775029601
182,36.39883339117824
183,-1.3228931446239045
184,39.71243866733491
185,-200.03638993447663
186,-58.51192133372636
187,3.4885748828515233
188,162.3462475373776
189,-140.0480162482293
190,-55.74991050530333
191,-43.74342239469058
192,35.60783525638011
193,-47.33767928971399
194,106.73439389287199
195,31.445063315638574
196,61.444761332754176
197,129.2346183636879
198,-113.35883526318058
199,97.79880076807672
200,29.112522902434804
201,-122.09693690690182
202,69.28048077105557
203,-11.745350648829683
204,66.37664088971535
205,4.848892240783626
206,-93.93072498789954
207,203.37170817074076
208,-59.426944184848374
209,83.06469254869698
210,-42.798426230563905
211,-85.8638513336343
212,188.1517321929304
213,185.09470161847852
214,184.41319295726086
215,147.38679946381072
216,36.46936257754591
217,-62.054196333064496
218,25.396708464155324
219,10.652180527675313
220,-17.110962907511954
221,-38.738039052718214
222,51.77796387724937
223,-75.76299979569485
224,34.16342136178409
225,47.06195486264646
226,-36.08336171077034
227,-60.67615692052618
228,31.777628288084408
229,-131.52243743904086
230,55.068273021765165
231,-158.39065145838916
232,-207.02492746649102
233,22.256689801217366
234,201.49922940897483
235,-61.08477130516462
236,-79.28759322305959
237,-95.05187468130435
238,-22.638337264604917
239,4.1401529588919
240,-179.98641377185973
241,188.37272039066585
242,-33.33030782074037
243,21.2838916209547
244,-99.50493408013695
245,-35.27009821392891
246,-52.85048676876877
247,63.462112248421526
248,41.95370573561077
249,-34.67828668901285
250,-44.649311098909024
251,-2.0978551405446435
252,111.36993212428825
253,-104.48818379134048
254,13.20050297929432
255,-64.17431117435449
256,155.47586296946122
257,-5.793925711675612
258,219.55474082432926
259,107.12782714648125
260,0.0841825131482139
261,35.681744415368534
262,149.65008773970607
263,-57.45508006054326
264,-66.56198609873371
265,53.119298905129114
266,24.1115956191786
267,-16.818154943050825
268,-25.781276762922396
269,17.40448804524374
270,39.686890422414905
271,66.99267638006812
272,-136.62911939269628
273,-121.8504777760739
274,27.339502972876197
275,249.91132003640934
276,-112.68672622541109
277,-68.74431243653689
278,-169.63400382856096
279,-88.05500534468527
280,244.5886493165459
281,-100.21307713915124
282,14.79352831088272
