road_id,section_id,lane_id,start_x,start_y,start_z,end_x,end_y,end_z,lane_type,lane_width
1959,0,-2,-33.171356201171875,193.61383056640625,0.0,-62.042808532714844,185.99342346191406,0.0,Driving,3.5
1959,0,-1,-33.16262435913086,197.1138153076172,0.0,-64.35697174072266,188.6191864013672,0.0,Driving,3.5
1933,0,-1,-37.21973419189453,178.33367919921875,0.0,-62.042808532714844,185.99342346191406,0.0,Driving,3.5
1930,0,-1,-127.13199615478516,48.21127700805664,0.0,-149.0493927001953,78.95260620117188,0.0,Driving,3.5
1909,0,-1,-149.0283966064453,38.652618408203125,0.0,-149.0493927001953,78.95260620117188,0.0,Driving,3.5
1908,0,1,-145.5493927001953,78.95443725585938,0.0,-145.5283966064453,38.654441833496094,0.0,Driving,3.5
1868,0,1,-145.5121307373047,7.434446334838867,0.0,-134.72776794433594,0.18993401527404785,0.0,Driving,3.5
1861,0,-1,-134.7097625732422,-3.3100199699401855,0.0,-149.0121307373047,7.432622909545898,0.0,Driving,3.5
588,0,2,71.53311920166016,-195.70655822753906,0.0,97.2550048828125,-195.06016540527344,0.0,Driving,3.5
588,0,3,71.4451904296875,-192.20765686035156,0.0,97.16707611083984,-191.56126403808594,0.0,Driving,3.5
925,0,-1,-65.04069519042969,-2.951787233352661,0.0,-74.3934097290039,-10.43755054473877,-0.052992600947618484,Driving,3.5
494,0,-1,93.68437194824219,-7.081547737121582,0.1296994686126709,81.09306335449219,-17.74062156677246,0.5119101405143738,Driving,3.5
831,0,1,-78.20570373535156,-124.93758392333984,-0.06209462508559227,-99.5613784790039,-140.40525817871094,0.18946398794651031,Driving,3.5
1166,0,2,241.59645080566406,21.566125869750977,0.0,242.53253173828125,-16.9224853515625,0.0,Driving,3.5
1166,0,3,245.09542846679688,21.651226043701172,0.0,246.031494140625,-16.837387084960938,0.0,Driving,3.5
489,0,-1,77.5952377319336,-17.864240646362305,0.5119101405143738,64.6776123046875,-7.514839172363281,0.05704117566347122,Driving,3.5
823,0,1,-99.63634490966797,-136.9060516357422,0.18946398794651031,-88.70565795898438,-124.90894317626953,-0.06209462508559227,Driving,3.5
482,0,-1,93.6321029663086,-3.5819382667541504,0.1296994686126709,64.62533569335938,-4.01522970199585,0.05704117566347122,Driving,3.5
1156,0,-1,235.5345916748047,-17.09208869934082,0.0,221.06787109375,-1.6783548593521118,0.0,Driving,3.5
130,0,-1,-18.915319442749023,134.39743041992188,0.0,-9.39924144744873,149.18638610839844,0.0,Driving,3.5
791,0,-1,-88.46949768066406,-151.23057556152344,0.0,-99.5613784790039,-140.40525817871094,0.18946398794651031,Driving,3.5
442,0,1,84.77802276611328,-122.0055160522461,8.0,70.83952331542969,-136.75474548339844,7.936733245849609,Driving,3.5
1917,0,-1,-129.62078857421875,45.75040054321289,0.0,-145.5283966064453,38.654441833496094,0.0,Driving,3.5
499,0,1,140.56336975097656,-190.470703125,0.0,166.20999145507812,-193.89999389648438,0.0,Driving,3.5
1173,0,4,135.38792419433594,5.042685508728027,0.05549215152859688,164.3846893310547,5.475827217102051,0.001464062836021185,Driving,3.5
1173,0,5,135.3356475830078,8.542295455932617,0.05549215152859688,164.33241271972656,8.97543716430664,0.001464062836021185,Driving,3.5
332,0,-1,-98.12503051757812,136.19052124023438,0.0,-88.6353988647461,146.90184020996094,0.0,Driving,3.5
1335,0,2,-0.30211544036865234,-149.09666442871094,0.0,-0.9215397834777832,-123.99430847167969,0.0,Driving,3.5
1335,0,3,-3.8010501861572266,-149.18301391601562,0.0,-4.420475006103516,-124.08065032958984,0.0,Driving,3.5
990,0,-1,-65.04069519042969,-2.951787233352661,0.0,-102.69197082519531,23.49401092529297,0.0,Driving,3.5
298,0,-1,-88.03663635253906,120.400146484375,0.06858325749635696,-88.6353988647461,146.90184020996094,0.0,Driving,3.5
1806,0,-1,79.95640563964844,-84.67253112792969,8.0,79.25,-64.68501281738281,7.5522284507751465,Driving,3.5
291,0,-1,-84.53665161132812,120.39059448242188,0.06858325749635696,-85.13542175292969,146.8888702392578,0.0,Driving,3.5
282,0,-1,-78.13548278808594,146.86293029785156,0.0,-77.53668212890625,120.37149810791016,0.06858325749635696,Driving,3.5
956,0,1,-97.69824981689453,0.3803366422653198,0.0,-88.28707885742188,28.570480346679688,0.08785666525363922,Driving,3.5
1293,0,-1,6.076330184936523,-123.8216323852539,0.0,-13.36115550994873,-138.55857849121094,0.0,Driving,3.5
263,0,-1,-84.53665161132812,120.39059448242188,0.06858325749635696,-61.004539489746094,135.35020446777344,0.0,Driving,3.5
589,0,-2,97.5187759399414,-205.5568389892578,0.0,71.7968978881836,-206.20323181152344,0.0,Driving,3.5
